OTU_ID,101803,101980,102038,102905,102939,103006,103106,103142,103175,103230,103252,103303,103312,103870,103895,103937,103943,103946,103958,103968,103969,103972,103973,103974,103987,104023,104025,104028,104030,104045,104051,104052,104060,104102,104103,104112,104124,104138,104140,104145,104158,104164,104179,104182,104185,104190,104192,104213,104226,104243,104261,104273,104283,104285,104291,104294,104295,104296,104306,104307,104309,104310,104314,104325,104330
Otu000002,0,0,0,0,0,12,19,70,21,33,560,205,245,104,72,175,260,666,206,176,26,6,0,12,0,48,564,0,42,0,2499,22,748,437,44,31,722,23,19,20,0,257,26,789,137,6267,54,1099,172,31,61,8,42,1106,799,7,2913,1165,474,15663,24,1577,792,688,175
Otu000004,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000005,0,8,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000011,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000012,0,74,74,0,14,65,0,0,0,0,23,12,7,0,0,5,12,10,5,21,0,0,0,0,0,3,27,0,0,0,100,2,17,26,6,0,28,0,0,0,0,20,0,27,0,148,2,46,8,0,0,0,3,7,22,2,69,16,9,273,0,46,27,6,9
Otu000017,0,16,29,0,0,23,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000018,0,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Otu000021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000022,0,0,6,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,3821,0,0,0,0,0,0,0,0,0,25,11,0,0,15,0,0,0,0,0,0,0,0,0,0,20,125,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0
