OTU_ID,101759,101761,101763,101789,101804,101835,101842,101852,101890,101891,101897,101917,101926,101990,102879,102884,102933,103036,103301,103309,104011,104026,104071,104122,104228,104246,104253,104260,104304
Otu000002,0,0,0,0,0,0,0,350,0,0,142,75,16,6732,0,12,82,0,46,60,0,79,8,19,0,25,10,29,21
Otu000004,0,0,0,0,0,0,0,0,0,0,0,0,124,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000005,0,0,0,0,0,0,0,0,0,0,2975,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000011,0,0,0,0,0,65,0,0,282,0,0,0,0,0,0,109,0,107,0,0,0,163,144,0,0,0,0,0,0
Otu000012,0,0,0,0,0,0,0,4663,22,0,1742,687,48,30517,20,82,580,69,0,0,0,0,0,0,0,0,0,0,0
Otu000015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000017,0,0,0,0,0,0,0,0,0,0,7,19,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000018,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0
Otu000022,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000025,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000026,0,0,0,0,0,0,0,1764,15,0,352,73,19,10156,15,70,134,52,0,0,0,0,0,0,0,0,0,0,0
Otu000027,0,69,0,0,15,22,0,912,15,91,998,131,267,8611,353,58,20974,74,29,47,0,18,51,0,0,0,27,64,0
Otu000028,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000029,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,14,0,0,0,0,0,0
Otu000031,0,0,0,0,0,0,0,0,0,0,707,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000035,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000038,0,0,134,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000039,58,17,47,0,0,0,0,0,0,10,0,0,27,15,0,165,0,211,63,0,0,0,0,0,0,0,0,0,0
Otu000040,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,50,0,50,0,0,0,19,13,0,0,0,0,0,0
Otu000042,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000044,0,0,0,0,0,0,0,0,0,0,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000045,42,0,0,148,0,0,0,0,0,0,0,0,0,0,0,59,0,110,32,0,0,0,236,0,0,9915,0,59,0
Otu000047,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
Otu000049,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000055,6,0,0,0,12,0,0,0,0,0,0,0,0,0,0,26,0,28,12,2,0,0,0,0,0,0,0,0,0
Otu000068,0,0,0,0,0,0,0,0,0,0,370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000069,0,0,0,0,0,0,0,0,0,0,497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000071,0,0,40,0,0,87,0,0,47,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0
Otu000072,0,0,0,0,0,0,0,0,0,0,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000073,73,587,959,0,548,205,1606,0,407,260,210,8,927,0,1265,175,0,250,753,654,527,346,874,1366,433,1346,1190,2188,398
Otu000074,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,0,104,21,0,0,0,0,0,0,0,0,0,0
Otu000075,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
Otu000079,0,0,690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000081,0,0,0,0,0,0,0,0,49,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000094,0,0,74,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000095,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000096,0,0,0,0,0,0,0,0,0,0,47,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000099,0,0,0,0,0,0,0,0,0,0,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000103,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000105,0,0,0,0,0,0,0,0,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000110,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000111,0,0,51,0,0,0,0,0,0,8,39,0,16,2648,0,8,36,16,14,0,0,0,0,7,0,0,0,8,0
Otu000117,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000120,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000125,0,0,0,0,0,0,0,0,0,0,452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000127,17,42,58,0,0,0,0,0,0,36,51,0,72,913,41,29,30,54,147,50,35,54,97,44,61,146,117,266,0
Otu000130,122,21,71,0,0,0,0,0,0,0,0,25,64,0,0,180,0,228,94,41,12,0,0,0,29,0,0,0,0
Otu000135,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,18,0,0
Otu000139,0,0,0,0,0,0,0,0,0,0,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000140,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000151,0,0,0,0,0,10,0,0,0,0,41,0,0,0,0,21,0,0,0,0,0,31,0,0,0,111,0,0,0
Otu000155,0,0,0,7146,0,0,0,0,0,0,19418,102936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000160,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000163,41,40,293,0,39,0,118,0,0,56,87,0,192,0,104,81,40,50,221,30,223,0,78,0,53,41,478,272,229
Otu000169,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000170,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000172,0,0,0,0,0,0,0,0,0,0,592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000179,75,0,0,0,32,9,0,0,0,0,129,0,0,0,0,106,0,139,46,0,0,0,0,0,0,0,0,104,0
Otu000183,0,0,0,0,0,0,0,0,0,0,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000184,10,0,757,0,0,9,0,0,0,0,31,0,0,0,0,8,0,44,0,0,12,0,0,0,0,0,0,0,0
Otu000188,127,453,816,0,250,194,1109,0,263,296,153,0,851,509,783,265,30,391,439,146,751,403,1828,496,1456,264,1073,1850,984
Otu000200,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380,120,333,98,115,0,94,0
Otu000201,0,0,0,0,0,0,0,0,0,0,315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000202,0,0,0,0,0,0,0,0,0,0,2653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000203,0,0,0,0,0,0,0,0,0,6,16,0,18,0,9,29,0,24,6,12,0,85,29,54,0,217,0,45,0
Otu000204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,80,0,0,0,0,0,0
Otu000209,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000211,0,0,0,0,0,0,0,0,0,0,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,20,0,0,84,63,61,26,76,0,69,0
Otu000214,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000215,0,0,0,0,0,0,0,0,60,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000220,0,0,0,0,0,0,0,0,0,0,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000221,0,0,0,0,0,0,0,681,0,0,126,16,0,1096,0,10,26,9,0,0,0,0,0,0,0,0,0,0,0
Otu000223,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000230,0,0,0,0,0,0,0,0,6,0,446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000240,0,0,0,0,0,0,0,0,0,0,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000244,0,0,0,0,0,0,0,0,0,0,4064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000247,0,0,0,0,0,81,0,0,0,10,0,0,0,0,0,0,0,0,0,37,0,0,9,0,0,0,0,0,0
Otu000248,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,38,15,0,0,0,0,0,0,0,0,0,0
Otu000254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0
Otu000256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
Otu000257,0,0,0,0,0,0,0,0,0,0,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000258,0,0,14,0,5,0,187,0,0,4,0,0,21,0,18,0,0,7,7,0,0,0,27,0,0,0,15,12,11
Otu000262,0,0,0,0,0,0,0,0,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000263,0,0,0,0,0,0,0,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000265,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000270,0,0,0,0,0,0,0,99,0,0,58,53,0,2089,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0
Otu000271,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000274,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0
Otu000277,0,0,0,0,0,0,0,0,0,0,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000280,0,0,0,37722,0,0,0,0,0,0,24602,15181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000283,104,595,532,0,522,158,2708,0,166,952,134,0,673,0,704,191,54,352,909,370,609,721,810,2301,399,2336,779,1873,714
Otu000286,0,0,0,0,0,0,0,251,0,0,46,52,0,1951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000290,0,0,0,0,0,0,0,0,0,0,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000293,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000297,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000304,0,0,0,0,0,0,0,0,46,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0
Otu000312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000314,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000315,0,0,0,0,0,0,0,0,0,0,286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000319,0,0,200,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,87,0,0,0,0,0,0,0,56,122,0
Otu000320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
Otu000321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Otu000324,0,0,0,0,0,0,48,0,0,0,161,0,0,244,0,0,5,7,0,0,0,0,0,0,0,0,0,0,0
Otu000326,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,27,0,0,0,0
Otu000327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
Otu000333,12,85,0,0,11,27,0,0,11,517,0,0,3363,0,282,56,0,48,865,90,12,45,24,18,0,54,24,38,0
Otu000334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
Otu000336,0,0,25,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,19,0,0,0,0
Otu000340,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000341,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000344,14,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,24,0,95,0,81,0,45,0,23,0
Otu000345,9,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,8,0,0,0,0,0,0,0,0,0,0
Otu000346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
