OTU_ID,101772,101814,101830,101832,101844,101877,101899,101949,101962,101968,101971,101995,102027,102869,102908,102915,102935,102938,102974,102999,103001,103028,103042,103063,103076,103100,103122,103211,103219,103225,103264,103857,103875,103893,103903,103908,103910,103915
Otu000002,0,0,0,0,0,0,0,0,0,37,0,0,303,7,1857,0,0,0,20,0,12,931,0,482,4569,21,69,49,17,253,153,13514,31,1640,66,364,957,4136
Otu000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000005,21,31344,20965,1894,0,185,13548,21,40,14777,60556,30163,0,9041,0,40,0,0,60,54,61152,0,20,30279,749,30,22,11766,0,75,0,32004,24,7,0,122,16,0
Otu000011,131,0,125,0,90,20,190,69,0,230,145,0,0,119,0,8844,0,83,110,0,69,0,89,370,46,626,16,134,0,52,0,0,1457,0,0,118,0,0
Otu000012,0,0,0,0,0,19,42,8,12,495,58,27,2754,66,12537,11,0,13,35,0,35,4334,11,26,147,0,0,0,0,6,0,290,0,49,0,0,32,151
Otu000015,0,9,45,0,0,0,78,9,0,83,9,33,0,0,0,0,0,0,0,2,15,0,0,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000017,0,0,0,0,0,0,0,0,0,8,0,9,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000018,0,0,149,512,0,0,137,0,62,210,0,40,0,82,0,32,0,32,383,0,46,0,47,330,21,0,117,20,82,249,0,185,219,0,0,509,50,0
Otu000022,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,11,0,9,0,0
Otu000023,105,28,0,248,0,676,16,192,656,194,0,9,0,3772,0,5120,0,3358,1570,751,0,0,8041,220,30850,47,3204,14,1142,4861,0,0,59,0,0,2337,5148,0
Otu000026,0,0,0,0,0,0,11,0,0,117,19,13,1021,32,5012,0,0,0,0,0,13,2991,13,28,126,0,0,0,0,9,0,200,0,36,0,8,28,157
Otu000027,56,0,0,0,0,0,27,0,0,111,16,17,792,27,7920,0,0,242,0,0,15,3826,0,37,78,0,14,0,0,14,0,76,0,14,0,12,67,77
Otu000028,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000029,0,0,0,0,0,0,6,0,0,0,63,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000030,0,0,17,18,0,0,83,0,12,210,0,29,0,103,0,55,0,87,98,0,0,0,0,271,0,0,0,0,46,45,0,0,1281,0,0,36,0,0
Otu000031,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,5,39,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000034,0,15065,78,63,0,62,466,0,0,41,77,7838,0,11892,0,51,0,0,0,0,901,126,0,55,40,0,0,43,0,0,0,660,0,0,0,0,0,0
Otu000035,0,16,0,50,0,0,13,0,0,18,13,3,0,72,0,0,0,0,0,0,0,0,0,35,36,0,0,17,0,0,0,0,0,0,0,0,0,0
Otu000038,0,0,0,56,0,0,66,0,0,81,68,0,0,82,0,213,1453,0,0,0,0,0,0,119,0,0,0,68,0,0,0,0,483,0,0,0,0,0
Otu000039,0,0,48,0,0,0,141,0,0,293,30,45,0,22,0,23,0,0,0,0,21,0,0,259,0,253,0,15,0,0,0,0,169,0,0,0,0,0
Otu000040,25,43,93,240,0,0,107,10,15,311,0,55,0,99,0,276,628,26,113,108,115,0,0,178,20,0,0,33,639,0,0,338,4270,0,0,38,18,0
Otu000043,0,10,6,30,127,0,6,0,15,17,0,0,0,37,0,2,2800,0,4,0,0,0,0,35,21,0,0,0,0,0,0,3,0,74192,0,4,0,0
Otu000044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Otu000045,0,0,84,41,0,0,151,0,0,268,0,72,0,59,0,702,0,0,104,120,0,0,0,309,0,125,0,0,0,0,0,109,757,0,0,0,31,0
Otu000049,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,9,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000053,0,11,0,0,192,15,0,0,50,0,0,0,0,15,0,12,1535,0,0,0,0,0,13,0,20,0,8,0,0,0,0,0,0,0,0,8,0,0
Otu000055,0,16,33,24,7413,0,31,0,0,88,57,0,0,17,0,0,22679,16,0,0,9,0,0,190,0,18,0,0,0,0,0,158,143,22303,0,0,0,0
Otu000057,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000064,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000066,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,134,0,0,171,0,0,0,0,58,38,113,129,74,0,0,0,19,556,0,0,434,0,0
Otu000068,0,2073,220,250,0,7,2557,0,0,121,2134,984,0,838,0,12,0,0,0,0,335,0,0,312,0,0,0,828,0,0,0,7058,0,0,0,0,0,0
Otu000071,41,22,58,0,0,26,130,0,28,238,19,0,0,913,0,337,0,56,5492,94,0,0,45,337,59,0,118,64,308,30,0,0,2627,0,0,682,61,22
Otu000073,210,46,67,9,0,530,280,2934,220,605,111,58,0,73,81,3168,0,213,703,3792,22,0,48,891,439,1168,101,107,187,59,0,31,583,0,0,544,173,619
Otu000074,56,42,71,0,846,47,213,36,248,332,90,15,0,82,0,236,0,11,178,38,28,10,146,632,3101,0,191,108,0,1494,19219,0,200,50556,29188,1355,25,7
Otu000076,6,8,23,23,0,0,59,0,0,145,7,14,0,75,0,1447,0,14,22,20,19,0,0,170,0,0,0,13,122,0,0,69,808,96,0,32,0,0
Otu000079,34,0,0,0,0,0,25,0,0,78,0,0,0,20,0,0,16,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,14,0,0
Otu000081,109,0,0,0,0,101,0,0,0,49,0,0,0,0,0,0,0,0,105,0,0,0,0,94,0,0,54,0,166,0,0,0,0,0,0,0,28,49
