OTU_ID,101758,101782,101784,101794,101801,101820,101821,101828,101853,101854,101937,101957,101958,101961,101985,101989,101993,102029,102904,102922,102923,102949,102982,103017,103025,103070,103097,103136,103163,103165,103171,103177,103190,103198,103280,103282,103315,103328,103333,103335,103881,103886
Otu000002,0,0,0,0,0,0,15,0,177,59,0,0,0,0,0,0,28,152,14,0,32,22,20,0,519,4007,856,0,5285,3395,10286,463,160,0,704,7837,8189,11835,17056,366,1830,1729
Otu000004,0,0,0,0,0,0,0,0,14,0,25,5,0,0,45,0,0,124,0,0,0,0,5,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000005,36,0,0,1456,0,10,11,0,61,34110,52,22657,23,25,176,65,0,119,0,55,0,14,9,10,0,89609,396,42,0,0,12849,10,0,16,0,3331,16835,117,65,83,0,0
Otu000011,0,0,0,144,2134,856,0,17479,0,46,167,84,0,0,82,0,0,0,0,107,0,0,0,0,0,0,149,0,0,0,734,0,0,0,0,228,47,0,0,67,0,0
Otu000012,0,0,0,0,0,0,0,0,1814,1172,28,305,30,18,58,28,1395,2133,710,0,1136,51,541,0,15073,98,46,0,93,62,97,11,0,0,25,105,168,284,134,0,68,34
Otu000015,0,0,0,0,0,0,0,0,0,0,0,13,2,0,0,6,0,0,0,0,0,61,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000017,0,0,15,0,0,0,2,0,0,0,0,0,0,6,30,0,7,32,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
Otu000018,0,0,0,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,10,0,0,0,1380,0,0,0,0,0,0,0,0,22,0,0
Otu000022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
Otu000023,0,0,0,251,0,52,0,0,9,0,0,0,1045,280,765,2236,0,260,0,1281,0,0,0,18,0,0,1240,260,0,0,13,0,0,434,9,480,49,595,449,1916,0,0
Otu000025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000026,0,0,0,0,0,0,0,0,174,186,0,92,0,0,0,15,397,397,270,0,220,19,315,0,7865,38,0,0,396,142,497,9,21,0,20,128,149,191,22,0,60,19
Otu000027,0,0,0,0,0,10,0,0,645,406,12,114,18,22,0,0,439,1160,237,0,634,21,245,0,5698,38,31,0,0,38,406,0,0,0,0,47,124,162,14,0,0,36
Otu000030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,303,0,10,0,0,0,0,0
Otu000031,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,10,5,0,8,0,0,0,0,0,0,0,0,0,8,0,0
Otu000034,103,0,0,308,0,0,0,0,0,764,0,7741,0,0,0,0,0,0,0,0,0,0,0,0,0,10055,0,0,0,0,6733,0,0,0,0,1963,642,106,600,37,0,0
Otu000035,0,0,6185,22,0,0,1153,0,0,39,0,21,4,0,11,0,0,0,29,16,684,0,29,0,0,46,25,0,0,0,161,1013,0,0,0,124,45,0,0,0,5150,547
Otu000038,0,0,0,0,0,0,0,5600,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,38,0,0,0,0,500,0,0,56,0,245,0,0,74,0,0,28
Otu000039,0,0,0,69,0,0,0,695,0,11,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,121,0,0,0,0,578,0,0,0,0,35,54,0,24,0,0,0
Otu000040,0,0,0,0,0,0,0,0,0,22,0,31,81,0,13,0,0,484,0,0,0,0,0,0,0,101,0,0,0,0,209,0,0,0,627,84,75,0,99,0,0,0
Otu000043,0,0,0,33,10847,0,0,6950,0,27,0,21,11,9,20,32,23,0,0,9,0,8680,14,0,0,34,80,4,0,0,0,0,0,0,0,10,3,0,68,34,4,0
Otu000044,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
