OTU_ID,101688,101805,101809,101867,101879,101944,101952,101975,101991,101992,102004,102891,102916,102925,102945,102948,102964,103035,103039,103130,103145,103159,103212,103215,103299,103319,103334,103889,103894,103926
Otu000002,0,0,0,0,294,20,10,10,22,9,0,33,18,107,15,0,17,0,0,25,472,21,22,4852,272,1535,3860,218,4718,285
Otu000004,0,0,0,0,0,20,0,0,0,0,67,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
Otu000005,18129,22,0,188,109,28005,240,0,19,25,78,195,18,0,15,0,159,0,41,72,25,0,18,32,0,0,0,42,0,10
Otu000011,176,33,83,19,151,26,98,0,0,0,0,104,51,0,141,624,162,6171,86,0,0,96,0,0,8574,0,0,34,0,0
Otu000012,0,0,0,0,2794,220,131,538,243,88,24,143,119,1824,432,0,79,0,0,0,32,0,0,82,0,33,60,7,122,7
Otu000015,4,0,0,0,0,10,8,0,8,13,0,8,7,0,0,0,0,0,7,6,0,0,4,0,0,0,0,0,0,0
Otu000017,0,0,0,0,0,0,23,0,24,28,9,20,0,0,0,0,0,4,13,0,0,0,0,0,0,0,0,0,0,0
Otu000018,0,0,0,0,0,0,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000021,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000023,0,0,0,0,0,0,38,2,0,0,22,460,24,0,0,0,119,0,0,0,0,0,0,0,0,0,0,13,0,86
Otu000025,0,0,0,0,0,0,8,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000026,0,0,0,0,675,63,16,66,51,53,0,64,21,1221,158,0,32,0,0,0,10,0,0,214,0,24,50,5,83,15
Otu000027,0,0,0,0,1083,84,81,169,50,28,0,68,81,866,360,0,48,0,28,0,27,0,0,159,18,21,26,0,90,0
Otu000028,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000029,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000031,0,0,0,0,0,0,22,0,0,0,0,30,0,343,0,0,0,21,8,0,0,0,0,0,0,12,0,0,0,0
Otu000034,20539,0,0,0,69,9673,72,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000035,18,0,13634,0,0,0,6,29722,24785,0,0,0,0,0,20473,0,0,0,0,0,0,0,0,0,0,23029,5975,0,13387,0
Otu000038,0,0,0,0,0,0,0,0,0,1895,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0
Otu000039,0,0,0,18,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000040,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,158,0,0,73,0,0,222,0,27,0,0,0
Otu000043,6,0,93,0,3,4,22,0,32,129817,0,51,6,0,0,0,18,88,0,0,19,101684,0,0,0,6,10,3,0,7
Otu000045,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,87,0,0,0,165,0,300,0,0,0,0,0,0,0,0
Otu000047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
Otu000049,0,0,0,0,0,0,0,0,0,17,0,11,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0
Otu000051,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000053,0,0,0,0,0,0,39,45,61,0,51,58,0,0,64,0,35,14,0,0,0,0,0,0,0,13,0,0,59,0
Otu000055,0,0,99,5,0,3,0,8,0,9649,37,15,0,0,5,37,0,232,0,0,0,3581,0,0,14,0,0,0,0,0
Otu000057,21,0,0,0,0,16,0,0,22,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0
Otu000068,16254,0,0,27,202,18408,50,0,0,16,14,111,0,9,0,0,78,0,11,28,0,0,0,14,0,0,0,0,0,0
Otu000071,0,23,0,12,0,0,0,0,0,0,0,18,0,0,0,0,17,0,17,40,3,0,0,0,206,0,0,13,0,0
Otu000073,0,95,0,523,39,0,176,56,49,15,2760,575,868,409,44,528,245,0,969,1719,679,90,497,28,78,30,119,344,63,313
Otu000074,58,8,0,0,108,28,63,0,0,1950,16,109,13,0,50,0,47,13,14,9,0,0,0,4,0,9,10,0,0,0
Otu000076,30,0,0,0,0,0,0,0,0,0,40,0,0,134,5,0,0,0,0,16,0,0,0,0,444,0,0,0,0,0
Otu000079,10,0,0,0,0,23,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000081,0,45,14,0,0,0,0,0,0,0,248,55,82,0,68,0,44,0,35,169,0,0,0,0,62,0,0,0,0,23
Otu000089,0,0,30907,0,0,0,0,23906,42676,0,0,0,0,0,24640,0,0,0,0,0,0,5,0,0,0,10145,1710,0,17063,0
Otu000094,0,0,0,69,0,0,52,0,0,62,75,0,0,0,0,90,0,0,27,92,0,0,0,0,85,0,0,0,0,0
Otu000096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0
Otu000097,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000099,0,0,0,0,0,0,0,0,0,18,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000103,863,0,0,0,0,658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000105,10200,0,0,55,107,17748,92,0,0,0,0,63,0,0,0,0,60,0,13,29,0,0,18,0,0,0,0,0,0,0
Otu000106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000110,0,0,0,0,4,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000111,34,0,0,0,115,44,57,0,0,0,51,337,114,17,0,184,44,0,718,27,0,0,0,0,5106,0,0,77,11,49
Otu000117,0,0,0,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000118,0,7,121,0,0,0,0,0,22,23229,0,45,0,0,0,55,13,421,0,0,0,4258,0,0,0,0,0,0,0,0
Otu000120,0,0,0,0,0,0,0,13,0,0,43,25,0,58,0,0,0,0,0,0,0,0,0,0,149,0,3,0,0,0
Otu000123,0,0,0,0,0,0,0,0,0,0,0,0,0,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000125,7101,0,0,24,0,2592,26,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0
