OTU_ID,101603,101604,101605,101606,101607,101608,101609,101610,101611,101612,101613,101614,101616,101617,101618,101619,101622,101624,101626,101628,101630,101634,101640,101642,101646,101648,101650,101689,101690,101693,101694,101704,101705,101706,101707,101708,101709,101710,101711,101712,101713,101714,101715,101716,101717,101718,101719,101720,101721,101722,101723,101736,101737,101738,101739,101740,101741,102928
Otu000002,0,0,0,0,0,0,8,0,0,0,0,0,0,0,27,132,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,40,20,2,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,37
Otu000004,0,0,0,0,0,50,0,0,0,110,0,0,0,0,0,52,0,0,40,0,64,10,42,0,0,0,0,0,60,0,13,0,5,0,0,0,0,0,7,0,0,19,0,0,9,0,0,0,0,0,0,0,0,51,0,0,15,0
Otu000005,5,0,0,6,10,0,12,0,2,0,0,0,2,3,0,0,0,2,0,0,9,0,23,13,0,0,0,5,1501,4,647,0,0,0,0,0,0,0,0,0,11,12,0,0,5,0,13,3,0,12,0,4,3,12,0,0,0,0
Otu000011,0,0,0,0,0,0,57,0,17,0,0,0,0,0,0,0,0,0,28,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0
Otu000012,3,25,22,23,41,31,53,8,0,0,0,15,0,8,0,25,0,0,32,0,31,0,86,19,0,0,0,0,45,0,0,0,0,0,10,0,17,11,17,0,13,10,0,21,0,0,0,0,19,27,4,0,0,31,0,0,0,724
Otu000015,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000017,0,0,0,18,24,11,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,19,0,0,16,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000018,0,0,0,9,0,0,0,0,0,0,0,0,3,0,0,5,0,0,6,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,229,6,0,0,0,0,0,0,0,0
Otu000021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,13072,35819,71044,74177,0,0,0,0,0,114776,179834,0,0,0,0,0,0,0,0
